Player,TTL,AVG
Blake Whiteheart,245,15.3
Greg Dulcich,245,24.5
Kylen Granson,244,14.4
Kevin Austin Jr.,242,30.3
Gabe Davis,238,39.7
Jack Westover,237,13.9
Reggie Gilliam,235,13.8
Darren Waller,234,26
Xavier Smith,233,16.6
Tucker Fisk,233,23.3
Drew Ogletree,226,15.1
Tory Horton,226,28.3
Ollie Gordon II,223,13.1
Russell Wilson,220,36.7
Justice Hill,219,21.9
Jamari Thrash,216,24
Malik Nabers,216,54
Bhayshul Tuten,215,14.3
Quintin Morris,214,17.8
Darius Cooper,212,16.3
Malik Heath,212,19.3
Jake Browning,212,42.4
Ray-Ray McCloud III,211,35.2
Adam Prentice,211,12.4
Hunter Renfrow,210,35
Taysom Hill,210,16.2
Jack Stoll,209,13.9
Chris Manhertz,208,12.2
Cedrick Wilson Jr.,206,20.6
Chris Brooks,203,11.9
Robbie Ouzts,203,16.9
Nate Adkins,199,22.1
Tyler Huntley,197,39.4
Emari Demercado,196,16.3
Malachi Corley,194,14.9
Tyler Badie,192,12
Brashard Smith,191,11.2
Brian Robinson Jr.,190,11.2
Will Dissly,189,21
Tutu Atwell,187,18.7
Anthony Firkser,187,26.7
Trent Sherfield Sr.,186,15.5
Elijah Moore,186,20.7
Gage Larvadain,186,14.3
Tylan Wallace,185,13.2
C.J. Ham,184,16.7
Tanner Conner,181,20.1
Casey Washington,181,25.9
Audric Estime,181,30.2
Quinn Ewers,179,44.8
Max Brosmer,178,25.4
Sean Tucker,177,11.8
Josh Whyle,176,22
Luke McCaffrey,174,21.8
Harrison Bryant,173,14.4
James Proche II,172,19.1
Philip Rivers,172,57.3
Jalin Hyatt,171,24.4
Jayden Reed,170,24.3
Tyler Conklin,169,16.9
Ray Davis,168,9.9
Cody White,165,18.3
Shane Zylstra,164,32.8
Ashton Dulin,163,13.6
Devontez Walker,163,16.3
Ben Skowronek,159,9.9
Scotty Miller,158,12.2
Jameis Winston,156,52
Tyreek Hill,155,38.8
Malik Davis,155,15.5
Curtis Samuel,151,25.2
Tanner Hudson,148,11.4
Jimmy Horn Jr.,148,11.4
Tank Bigsby,139,11.6
Brenden Bates,139,15.4
Josh Johnson,138,27.6
Jalen McMillan,138,34.5
Raheem Mostert,137,11.4
David Martin-Robinson,134,8.9
Robert Tonyan,133,8.3
Teagan Quitoriano,133,8.9
Keaton Mitchell,132,10.2
Riley Leonard,130,26
Nick Kallerup,130,14.4
Dare Ogunbowale,129,8.1
Jaylen Wright,127,12.7
KeAndre Lambert-Smith,123,12.3
Trey Benson,123,30.8
Ryan Miller,123,10.3
Dylan Drummond,122,15.3
Rasheen Ali,119,11.9
Gunner Olszewski,118,11.8
Ross Dwelley,118,11.8
Jake Bobo,117,10.6
Will Shipley,116,7.7
Ben Yurosek,116,9.7
Cooper Rush,116,29
Jaret Patterson,116,19.3
Dante Pettis,114,16.3
Kendre Miller,113,16.1
Mason Rudolph,113,22.6
Jalen Brooks,111,18.5
Skyy Moore,110,7.9
Andrew Beck,110,6.5
Chris Oladokun,109,36.3
Colson Yankoff,108,7.7
Zaire Mitchell-Paden,107,13.4
Kameron Johnson,105,7.5
Zavier Scott,105,11.7
Cameron Latu,103,6.9
Noah Brown,102,25.5
Trey Lance,100,25
Tip Reiman,98,24.5
Mitchell Trubisky,98,24.5
Malik Willis,98,24.5
Andy Dalton,97,24.3
Bo Melton,96,7.4
James Conner,93,31
Efton Chism III,92,11.5
Andre Baccellia,92,23
Savion Williams,91,7.6
Austin Trammell,91,15.2
Connor Heyward,90,5.6
Tanner McKee,89,22.3
Dee Eskridge,88,6.8
Jakob Johnson,86,12.3
Jalen Royals,86,12.3
Jahdae Walker,86,12.3
Ameer Abdullah,86,6.6
Stone Smartt,85,10.6
Jaleel McLaughlin,85,10.6
Keleki Latu,85,17
Derius Davis,84,8.4
Beaux Collins,84,10.5
Ben Sims,84,9.3
Josiah Deguara,84,7.6
Hassan Haskins,83,8.3
Moliki Matavao,83,13.8
David Moore,81,20.3
Marcedes Lewis,81,16.2
Trayveon Williams,80,16
Jonathan Mingo,80,13.3
Kenny Pickett,79,13.2
Jawhar Jordan,79,19.8
Jaydon Blue,78,15.6
Evan Hull,77,12.8
KhaDarel Hodge,73,7.3
Robbie Chosen,72,24
British Brooks,71,5.9
DJ Giddens,70,7.8
Austin Ekeler,69,34.5
Justin Watson,68,22.7
Mason Kinsey,68,6.8
Miles Sanders,65,16.3
Trevor Etienne,63,4.5
Zamir White,62,12.4
Braxton Berrios,60,20
Jelani Woods,60,15
Raheim Sanders,59,14.8
Pharaoh Brown,59,8.4
Clayton Tune,59,29.5
Braelon Allen,58,14.5
LaJohntay Wester,58,4.1
Anthony Gould,58,9.7
Brady Russell,58,4.8
Giovanni Ricci,58,19.3
Devin Culp,56,5.6
Nick Vannett,55,11
Theo Wease Jr.,55,18.3
Lucas Krull,53,17.7
Dareke Young,53,6.6
Antonio Gibson,52,10.4
Drake Dabney,52,26
Kaleb Johnson,51,5.1
Joe Milton III,51,12.8
Aidan O'Connell,51,51
A.J. Dillon,50,7.1
Khalil Herbert,50,16.7
Alex Bachman,49,4.5
Brandon Allen,49,49
